81010402,PERDIDA POR DIFERENCIA DE INVENTARIO
81010403,OTROS EGRESOS
87010101,C.M. PATRIMONIO
87010102,C.M. ACTIVO FIJO
87010103,C.M. EXISTENCIAS
87010104,CORRECCION MONETARIA CTAS. DE RESULTADO
87010105,ACTUALIZACION A VALOR JUSTO
87010106,C.M. OTROS ACTIVOS
87010107,C.M. ACTIVOS LEASING
87010108,C.M. ACTIVOS TASADOS
88010101,IMPUESTO PRIMERA CATEGORIA
89010101,INTERES MINORITARIO
9909909,APERTURA
